date,0
1987-07-31,-0.4018214281622905
1987-08-31,2.0951984929859906
1987-09-30,-3.5657859570749246
1987-10-31,-0.5342003143990609
1987-11-30,-1.5692300335627754
1987-12-31,5.174374143845279
1988-01-31,-4.466962224295065
1988-02-29,1.4969497391431275
1988-03-31,-3.778994359118838
1988-04-30,-0.9054594386030463
1988-05-31,-0.5576557404027386
1988-06-30,1200.0702160590542
1988-07-31,-1.2403430044912496
1988-08-31,-0.43455640255790384
1988-09-30,-0.23968543100739426
1988-10-31,0.6712513849773316
1988-11-30,0.8526694284063986
1988-12-31,-1.4471810174442197
1989-01-31,-1.1341200029397134
1989-02-28,-0.6636056065380472
1989-03-31,-0.9848603257684975
1989-04-30,0.44025592998784174
1989-05-31,0.7104176230457744
1989-06-30,-2.311161748385171
1989-07-31,4.333723888348918
1989-08-31,0.7089995136387498
1989-09-30,-2.1198550403582628
1989-10-31,-1.5269593055071466
1989-11-30,1.0855526593266478
1989-12-31,-inf
1990-01-31,-4.395969720309247
1990-02-28,0.24072753123275653
1990-03-31,-0.9837294010603012
1990-04-30,-2.9736031153221196
1990-05-31,1.6864355104303834
1990-06-30,-3.2035260554556237
1990-07-31,0.6577669045707342
1990-08-31,-26.040795868294264
1990-09-30,-3.2561512679193965
1990-10-31,-0.3941512895646211
1990-11-30,4.2133689579231515
1990-12-31,2.5190212896959103
1991-01-31,-0.9710438708924796
1991-02-28,-75.31928577984779
1991-03-31,-4.691359602260102
1991-04-30,-4.104601664699441
1991-05-31,0.5927261771113107
1991-06-30,-2.631022278650036
1991-07-31,1.4446451360023145
1991-08-31,0.09073134622949557
1991-09-30,-1.4415323181992816
1991-10-31,-0.3832056916404397
1991-11-30,-3.697760298038552
1991-12-31,-776.5511422693021
1992-01-31,-10.400914711707635
1992-02-29,-3.5668128372036216
1992-03-31,-inf
1992-04-30,-inf
1992-05-31,-0.7136729814594263
1992-06-30,-inf
1992-07-31,inf
1992-08-31,-1.9937715779570948
1992-09-30,-inf
1992-10-31,-0.42679805134470883
1992-11-30,0.3233309506558965
1992-12-31,-304.95622678917874
1993-01-31,-4.23025308462104
1993-02-28,-0.943137570543733
1993-03-31,-inf
1993-04-30,-3.400281993088833
1993-05-31,-0.5120318102319579
1993-06-30,-1.3643653965457019
1993-07-31,inf
1993-08-31,-120.85316047316765
1993-09-30,-11.450313042812535
1993-10-31,-3.0121624777506146
1993-11-30,-2.075396922975757
1993-12-31,-251.61727027598232
1994-01-31,-1.5804132246799145
1994-02-28,-1.662723774430677
1994-03-31,-inf
1994-04-30,0.36275284604614505
1994-05-31,-0.9475623916932543
1994-06-30,-960.3459446945145
1994-07-31,
1994-08-31,1.8194607406732246
1994-09-30,-4.197632319451856
1994-10-31,-0.24379823821447044
1994-11-30,-1.331562813899283
1994-12-31,0.6130185084876002
1995-01-31,-12.240433696259975
1995-02-28,-0.6332357311282528
1995-03-31,-29.60628744645646
1995-04-30,-0.281793934745158
1995-05-31,-0.22897154051410867
1995-06-30,-1.2965014767050569
1995-07-31,2.1121659598470037
1995-08-31,-1.7656457934799725
1995-09-30,-inf
1995-10-31,-2.715276703319626
1995-11-30,1.1605899245078992
1995-12-31,-0.7633621444617985
1996-01-31,-8.515684738653986
1996-02-29,-11.820616979521791
1996-03-31,-13.436454885141652
1996-04-30,-4.948252136658725
1996-05-31,-10.5377224561968
1996-06-30,-9.217124521226816
1996-07-31,3.4422873006136236
1996-08-31,-12.71219786085726
1996-09-30,-134.9084506651185
1996-10-31,0.46454220893732107
1996-11-30,-126.94181585179673
1996-12-31,-5.783093208006648
1997-01-31,-5.617529074443541
1997-02-28,-4.6929152023939995
1997-03-31,-2.686787043517471
1997-04-30,-2.800018534834451
1997-05-31,1.9345949800860782
1997-06-30,-2.7942446429912358
1997-07-31,inf
1997-08-31,-35.78357489965641
1997-09-30,-8.4454239138011
1997-10-31,-7.3323661832837566
1997-11-30,-0.5874558342088464
1997-12-31,-24.36534938316197
1998-01-31,-4.425838068056489
1998-02-28,-7.050010065293886
1998-03-31,-7.845881346760956
1998-04-30,-79.39049565952067
1998-05-31,-44.121837285017904
1998-06-30,-28.264236912229755
1998-07-31,-3.149324442578279
1998-08-31,-2.8922731254312537
1998-09-30,-1824.3375108467862
1998-10-31,-13.917478904411606
1998-11-30,-5.147800208817807
1998-12-31,-6.802223415931079
1999-01-31,-31.957591495303838
1999-02-28,-19.019934411851576
1999-03-31,-5.377574518773605
1999-04-30,-31.89665678440383
1999-05-31,-12.829978307354843
1999-06-30,-8.169844003448752
1999-07-31,1211.1261450661975
1999-08-31,-7.589209618183906
1999-09-30,-12.83189063326978
1999-10-31,-4.4869061955738925
1999-11-30,-6.355123183368895
1999-12-31,-10.36133510897989
2000-01-31,-64.01176669897617
2000-02-29,-32.06399573232691
2000-03-31,-35.80266178439586
2000-04-30,-7.762526699882141
2000-05-31,-8.366776817020058
2000-06-30,-14.990679490418813
2000-07-31,4.668397591975228
2000-08-31,-24.89773080395617
2000-09-30,-62.657063440970326
2000-10-31,-12.81503543150227
2000-11-30,-1.6452254497973269
2000-12-31,-27.48230978026035
2001-01-31,-12.795446862865626
2001-02-28,-5.426047566961929
2001-03-31,-8.164897374378576
2001-04-30,-7.945939512254363
2001-05-31,-7.745189830375662
2001-06-30,-22.696200322868293
2001-07-31,-11.303519064944501
2001-08-31,-2.717670804678664
2001-09-30,-inf
2001-10-31,-1.1268811968228574
2001-11-30,-3.0419766524691534
2001-12-31,-22.760092850677587
2002-01-31,-74.02130060978503
2002-02-28,-3.74819269147618
